interaction_id,client_id,contact_name,employee_id,employee_name,interaction_type,interaction_date,interaction_duration_minutes,meeting_channel,interaction_outcome,followup_required,next_followup_date,response_time_hours
INT0001,CLT020,Shelia Hill,EMP051,Ryan Hall,Social Media,07-04-2026,62,Phone,Negative,No,,6.2
INT0002,CLT021,Brian Harmon,EMP083,Dr. Mark Harris DVM,Email,17-09-2025,69,In-person,Positive,Yes,24-09-2025,63.3
INT0003,CLT036,Amanda Thompson,EMP082,Jeffrey Mccormick,Meeting,09-08-2025,65,Zoom,Positive,Yes,16-08-2025,37.8
INT0004,CLT020,James Robinson,EMP022,Lucas Franklin,Demo,25-03-2026,100,Teams,Neutral,Yes,01-04-2026,68.3
INT0005,CLT034,Michael Young,EMP037,Priscilla Weaver,Demo,30-09-2025,35,In-person,Positive,Yes,07-10-2025,45.4
INT0006,CLT040,Kevin Mccarthy,EMP069,Kaitlyn George,Social Media,26-08-2025,92,Teams,Negative,Yes,02-09-2025,67.9
INT0007,CLT010,Preston Johnson,EMP022,Lucas Franklin,Social Media,19-02-2026,15,Zoom,Positive,No,,4.2
INT0008,CLT037,Eugene Adams,EMP034,Karen Buckley,Social Media,21-01-2026,63,Zoom,Neutral,Yes,28-01-2026,64.1
INT0009,CLT035,Corey Estes,EMP038,Diana Carlson,Email,16-08-2025,41,Phone,Neutral,No,,33.2
INT0010,CLT004,Christine Young,EMP021,Nancy Dalton MD,Email,17-05-2026,71,Phone,Positive,No,,25.2
INT0011,CLT010,Morgan Henderson,EMP041,Ashley Burke,Demo,07-09-2025,61,Teams,Neutral,No,,37.6
INT0012,CLT007,Isaac Jackson,EMP041,Ashley Burke,Email,23-03-2026,25,In-person,Neutral,Yes,30-03-2026,18.6
INT0013,CLT007,Sandra Ruiz,EMP007,Grace Avery,Email,18-06-2025,120,Phone,Positive,No,,69.4
INT0014,CLT011,Michelle Torres,EMP042,Stephanie Johnson,Meeting,14-09-2025,107,Teams,Neutral,No,,71.7
INT0015,CLT030,Julie King,EMP064,Brian Martinez,Email,14-10-2025,12,Zoom,Neutral,No,,36.9
INT0016,CLT016,Derrick Beck,EMP028,Justin Lee,Call,19-05-2026,16,In-person,Neutral,No,,43.4
INT0017,CLT031,Loretta Miller,EMP037,Priscilla Weaver,Call,13-02-2026,65,Teams,Neutral,Yes,20-02-2026,52.7
INT0018,CLT026,Scott Little,EMP047,Nicole Hernandez,Email,08-10-2025,16,Teams,Neutral,Yes,15-10-2025,40.3
INT0019,CLT005,Trevor Herman,EMP050,Lauren Crosby,Social Media,05-06-2025,45,Zoom,Positive,No,,70.2
INT0020,CLT026,Cassandra Rangel,EMP048,Sherri Thompson,Social Media,12-03-2026,56,Teams,Positive,No,,43.8
INT0021,CLT026,Cindy Garcia,EMP065,Brent Allen,Call,22-07-2025,14,Teams,Negative,Yes,29-07-2025,24.6
INT0022,CLT031,Thomas Byrd,EMP067,Lisa Weaver,Meeting,08-11-2025,87,Teams,Neutral,No,,67.1
INT0023,CLT021,Pamela Calhoun,EMP021,Nancy Dalton MD,Social Media,08-04-2026,104,In-person,Negative,No,,24.9
INT0024,CLT033,Mercedes Fischer,EMP069,Kaitlyn George,Social Media,19-03-2026,48,Phone,Positive,No,,27.2
INT0025,CLT008,Candice Anderson,EMP054,Deborah Martinez,Call,04-01-2026,86,Phone,Neutral,No,,69.7
INT0026,CLT038,Victoria Wu,EMP074,Melissa Robles,Call,22-08-2025,84,Phone,Positive,Yes,29-08-2025,38.2
INT0027,CLT040,Keith Ramirez,EMP100,Michael Hurley,Meeting,26-10-2025,115,Teams,Positive,No,,41.7
INT0028,CLT008,Karina Schmidt,EMP025,Leslie Novak,Email,21-11-2025,50,Phone,Positive,Yes,28-11-2025,30.3
INT0029,CLT014,Ashley Moody,EMP053,Jeremy Howard,Call,06-05-2026,100,Teams,Negative,No,,15.7
INT0030,CLT021,Morgan Calderon,EMP085,Kim Smith,Social Media,19-12-2025,58,In-person,Positive,No,,33.6
INT0031,CLT035,Thomas Murphy,EMP044,Scott Williams,Demo,24-02-2026,88,Phone,Positive,No,,69
INT0032,CLT018,Amy Powers,EMP072,Kelsey Larson,Meeting,29-04-2026,48,In-person,Negative,No,,15.7
INT0033,CLT032,Miranda Gutierrez,EMP041,Ashley Burke,Demo,31-01-2026,81,In-person,Neutral,No,,9.7
INT0034,CLT035,Amanda Haynes,EMP049,Jason Tran,Demo,13-06-2025,108,Teams,Neutral,No,,4
INT0035,CLT006,Kathleen Taylor,EMP045,William Jones,Demo,07-01-2026,105,Phone,Positive,No,,15.3
INT0036,CLT035,Carolyn Gallegos,EMP035,Rachel Berry,Meeting,27-11-2025,23,Teams,Positive,No,,4.6
INT0037,CLT034,Vanessa Phillips,EMP029,Jose Smith,Call,27-09-2025,22,Phone,Neutral,Yes,04-10-2025,51.9
INT0038,CLT007,Diana Martinez,EMP088,Stacey Reynolds,Call,17-03-2026,80,Teams,Neutral,Yes,24-03-2026,47.4
INT0039,CLT031,Scott Bush,EMP062,Micheal Hansen DVM,Demo,15-10-2025,51,In-person,Negative,Yes,22-10-2025,5.2
INT0040,CLT006,Bobby White,EMP084,Steven Ryan,Social Media,04-11-2025,104,Zoom,Positive,Yes,11-11-2025,30.7
INT0041,CLT012,Tamara Villa,EMP005,Willie Harris,Email,20-04-2026,33,In-person,Positive,No,,1.7
INT0042,CLT037,Lacey Rodriguez,EMP078,Tara Cordova,Demo,25-02-2026,46,Phone,Negative,Yes,04-03-2026,39.6
INT0043,CLT032,Glenn King,EMP018,Micheal Oconnor,Demo,13-04-2026,34,Zoom,Neutral,No,,12.5
INT0044,CLT030,Dwayne Johnson,EMP083,Dr. Mark Harris DVM,Meeting,01-08-2025,11,In-person,Neutral,No,,41.3
INT0045,CLT013,Chelsea Smith,EMP023,Jordan Olson,Email,19-03-2026,75,In-person,Positive,No,,29.5
INT0046,CLT007,Laurie Odonnell,EMP024,Jacqueline Gutierrez,Email,05-11-2025,51,Teams,Positive,Yes,12-11-2025,19.5
INT0047,CLT016,James Mcdaniel,EMP058,Michael Hernandez,Demo,15-02-2026,48,Zoom,Neutral,No,,47.4
INT0048,CLT016,Stephen Ray,EMP008,Brian Tate,Email,10-05-2026,49,Teams,Neutral,Yes,17-05-2026,49.7
INT0049,CLT020,Paula Collier,EMP089,Steven Morales,Demo,27-08-2025,57,Teams,Positive,Yes,03-09-2025,69
INT0050,CLT031,Rebecca Long,EMP020,Lisa Hughes,Social Media,07-03-2026,57,Phone,Negative,No,,40
INT0051,CLT031,Michael Fuentes,EMP097,Kenneth Hobbs,Meeting,20-06-2025,97,Zoom,Negative,Yes,27-06-2025,32.7
INT0052,CLT024,Dillon Harper,EMP010,Sandra Sanders,Call,16-08-2025,116,Teams,Negative,Yes,23-08-2025,39.1
INT0053,CLT011,Mr. Kent Cordova MD,EMP042,Stephanie Johnson,Call,03-10-2025,97,Teams,Negative,No,,42.4
INT0054,CLT006,William Ford,EMP066,Mr. Jason Robinson MD,Call,15-01-2026,68,Teams,Negative,No,,30.5
INT0055,CLT037,James Brooks,EMP008,Brian Tate,Demo,07-05-2026,102,Zoom,Neutral,No,,19.1
INT0056,CLT001,Trevor Harris,EMP096,Sarah Smith,Social Media,21-01-2026,19,Zoom,Neutral,Yes,28-01-2026,25.5
INT0057,CLT005,Daniel Schaefer,EMP070,Anita Callahan,Call,24-03-2026,70,Zoom,Neutral,Yes,31-03-2026,30
INT0058,CLT009,Lisa Scott,EMP099,Gloria Lewis,Demo,26-04-2026,58,Phone,Neutral,No,,27.7
INT0059,CLT035,Michael Mendoza,EMP018,Micheal Oconnor,Call,09-12-2025,32,Phone,Negative,No,,10
INT0060,CLT015,Frank Williams,EMP001,Barbara Parks,Demo,30-03-2026,69,Phone,Negative,Yes,06-04-2026,27.9
INT0061,CLT015,Jim Hall,EMP032,Kenneth Rasmussen,Demo,24-09-2025,29,In-person,Positive,No,,67.6
INT0062,CLT008,Elizabeth Parker,EMP005,Willie Harris,Social Media,24-06-2025,108,Zoom,Positive,No,,15.6
INT0063,CLT007,Michelle Kane,EMP077,Thomas Kennedy,Email,13-04-2026,86,Zoom,Positive,Yes,20-04-2026,53.6
INT0064,CLT026,Randall Ruiz,EMP057,Emily Perez,Social Media,07-01-2026,37,Zoom,Positive,Yes,14-01-2026,36.8
INT0065,CLT019,Austin Clark,EMP030,John Valencia,Social Media,04-03-2026,86,In-person,Positive,No,,22.4
INT0066,CLT010,Roberto Leonard,EMP085,Kim Smith,Email,03-09-2025,48,In-person,Positive,Yes,10-09-2025,40.5
INT0067,CLT038,Devin Newman,EMP095,Andrew James,Email,27-12-2025,81,Phone,Positive,Yes,03-01-2026,70
INT0068,CLT025,Timothy Finley,EMP068,Rebecca Harrison,Email,12-09-2025,62,Teams,Neutral,No,,27.7
INT0069,CLT035,Danielle Beasley,EMP061,Tony Mccarty,Meeting,07-07-2025,48,Teams,Neutral,Yes,14-07-2025,65.9
INT0070,CLT036,Rodney Daniels,EMP053,Jeremy Howard,Social Media,26-05-2025,77,Teams,Neutral,No,,18.2
INT0071,CLT014,Melissa Aguirre,EMP043,Matthew Morris,Email,18-05-2026,118,In-person,Positive,Yes,25-05-2026,39
INT0072,CLT013,Shannon Miller,EMP007,Grace Avery,Email,01-04-2026,96,Zoom,Positive,No,,14.4
INT0073,CLT038,Sandra Thomas,EMP093,Christopher Douglas,Email,12-05-2026,36,In-person,Neutral,Yes,19-05-2026,68.9
INT0074,CLT001,Chad Mack,EMP028,Justin Lee,Call,18-07-2025,105,Phone,Positive,Yes,25-07-2025,50.4
INT0075,CLT014,Sean Romero,EMP051,Ryan Hall,Social Media,21-03-2026,51,In-person,Neutral,Yes,28-03-2026,34.1
INT0076,CLT023,Kevin Thompson,EMP040,Amy Hubbard,Demo,13-11-2025,75,Phone,Neutral,No,,8
INT0077,CLT031,Laura Martinez,EMP098,Chelsea Munoz,Meeting,10-04-2026,57,In-person,Neutral,No,,4.2
INT0078,CLT015,Eric Smith,EMP095,Andrew James,Call,03-08-2025,43,Phone,Neutral,Yes,10-08-2025,11.8
INT0079,CLT022,Chelsea Williams,EMP030,John Valencia,Social Media,26-06-2025,116,Teams,Neutral,No,,40.1
INT0080,CLT022,Christine Santos,EMP033,Lisa Anderson,Email,18-11-2025,68,Teams,Negative,No,,57.4
INT0081,CLT011,Amanda Chavez,EMP018,Micheal Oconnor,Meeting,10-12-2025,79,Zoom,Negative,No,,3.4
INT0082,CLT005,Tracey Collins,EMP086,James Fields,Call,11-12-2025,62,Teams,Negative,Yes,18-12-2025,17.4
INT0083,CLT010,Shannon Rosales,EMP002,Thomas Thomas,Social Media,26-05-2025,68,In-person,Positive,Yes,02-06-2025,44.9
INT0084,CLT040,Troy Morales,EMP062,Micheal Hansen DVM,Call,18-02-2026,10,Phone,Positive,No,,2.2
INT0085,CLT018,John Williams,EMP069,Kaitlyn George,Call,09-11-2025,74,Phone,Positive,No,,8.6
INT0086,CLT007,Chad Porter,EMP068,Rebecca Harrison,Meeting,27-11-2025,34,In-person,Neutral,Yes,04-12-2025,20
INT0087,CLT026,Justin Flores,EMP011,Joshua Sanchez DVM,Email,28-10-2025,68,Teams,Negative,No,,17
INT0088,CLT006,Michael Best,EMP084,Steven Ryan,Call,31-03-2026,61,Phone,Neutral,Yes,07-04-2026,40.2
INT0089,CLT004,Mr. James Santos,EMP082,Jeffrey Mccormick,Meeting,25-12-2025,20,Phone,Neutral,Yes,01-01-2026,46.8
INT0090,CLT022,Brandy Perez,EMP073,William Moran,Social Media,30-06-2025,15,Teams,Positive,Yes,07-07-2025,65
INT0091,CLT037,Edward Lambert,EMP061,Tony Mccarty,Call,15-07-2025,19,In-person,Negative,No,,41
INT0092,CLT003,Gregory Marquez,EMP023,Jordan Olson,Call,20-08-2025,36,Teams,Negative,No,,59.3
INT0093,CLT005,Juan Simpson,EMP039,Gloria Colon,Social Media,01-03-2026,40,Phone,Negative,Yes,08-03-2026,64.7
INT0094,CLT022,Patrick Allen,EMP050,Lauren Crosby,Call,12-04-2026,74,In-person,Positive,Yes,19-04-2026,7.9
INT0095,CLT015,Phillip Allen,EMP010,Sandra Sanders,Social Media,22-03-2026,108,Phone,Neutral,No,,3.1
INT0096,CLT018,Michelle Logan,EMP058,Michael Hernandez,Meeting,10-12-2025,55,Phone,Neutral,No,,14.2
INT0097,CLT038,Kimberly Evans,EMP085,Kim Smith,Call,03-08-2025,108,In-person,Positive,No,,51.6
INT0098,CLT006,Michael Novak,EMP035,Rachel Berry,Email,13-07-2025,101,Teams,Negative,Yes,20-07-2025,28.7
INT0099,CLT024,Pamela Stephens,EMP014,Jenna Velazquez,Call,10-06-2025,49,Phone,Neutral,Yes,17-06-2025,55.1
INT0100,CLT007,John Guerra,EMP017,Monique Brown,Meeting,11-06-2025,65,Phone,Negative,Yes,18-06-2025,40.4
INT0101,CLT027,Samuel Williams,EMP014,Jenna Velazquez,Call,13-03-2026,55,Zoom,Negative,Yes,20-03-2026,43.5
INT0102,CLT021,Brian Davis,EMP050,Lauren Crosby,Demo,05-10-2025,62,Phone,Positive,Yes,12-10-2025,52.5
INT0103,CLT036,Jeffrey Smith,EMP032,Kenneth Rasmussen,Email,11-06-2025,31,Teams,Neutral,Yes,18-06-2025,22.4
INT0104,CLT032,Connor Case,EMP019,Oscar Webb,Meeting,03-03-2026,65,In-person,Neutral,Yes,10-03-2026,22.3
INT0105,CLT005,Lorraine Bridges,EMP047,Nicole Hernandez,Meeting,11-06-2025,102,Phone,Negative,No,,44.8
INT0106,CLT030,Stephen Graves,EMP014,Jenna Velazquez,Demo,08-12-2025,10,Phone,Neutral,Yes,15-12-2025,60.8
INT0107,CLT025,James Hammond,EMP043,Matthew Morris,Demo,30-07-2025,65,Teams,Neutral,No,,23.8
INT0108,CLT013,Amanda Morris,EMP062,Micheal Hansen DVM,Meeting,04-05-2026,60,In-person,Neutral,No,,53.2
INT0109,CLT032,Aaron Burnett,EMP074,Melissa Robles,Demo,27-01-2026,58,In-person,Neutral,Yes,03-02-2026,26.9
INT0110,CLT037,Evan Barrett,EMP026,Jennifer Gonzales,Social Media,03-03-2026,13,Phone,Negative,Yes,10-03-2026,15.9
INT0111,CLT019,Stephen Williams,EMP089,Steven Morales,Email,11-01-2026,96,Phone,Positive,Yes,18-01-2026,46
INT0112,CLT016,Stacy Garcia,EMP033,Lisa Anderson,Email,12-09-2025,111,Phone,Positive,Yes,19-09-2025,32.9
INT0113,CLT039,William Cordova,EMP062,Micheal Hansen DVM,Social Media,26-10-2025,74,Phone,Negative,No,,3.6
INT0114,CLT024,Omar Reeves,EMP090,Monica Bailey,Call,12-03-2026,108,Teams,Negative,Yes,19-03-2026,48.2
