collection_id,invoice_id,client_id,project_id,payment_date,payment_amount,payment_mode,payment_status,outstanding_amount,collection_days,collector_name,remarks
COL00001,INV00001,CLT008,PRJ001,01-01-2026,2357113,UPI,Paid,234053,22,Wayne Martinez,Radio foot she give people.
COL00002,INV00002,CLT001,PRJ006,12-04-2026,3595146,Bank Transfer,Paid,582738,24,David Jackson,Picture little agree stay traditional partner black hand.
COL00003,INV00003,CLT024,PRJ019,03-01-2026,256399.21,Bank Transfer,Partial,173346,34,Connor Gentry,Father player blood break class follow natural.
COL00004,INV00004,CLT011,PRJ015,28-11-2025,2314486,Wire Transfer,Paid,721590,76,Brandon Stark,Partner high professional ten however.
COL00005,INV00005,CLT016,PRJ018,04-02-2026,1348374.51,Wire Transfer,Partial,612982,59,Brandon Curtis,American environmental up every friend challenge.
COL00006,INV00006,CLT001,PRJ004,31-08-2025,3282993.23,UPI,Partial,559572,103,Amanda Byrd,Class claim nothing may.
COL00007,INV00007,CLT034,PRJ001,18-04-2026,1008537.38,UPI,Pending,40845,19,Ryan Callahan,Out couple remain whose home experience.
COL00008,INV00008,CLT035,PRJ007,01-01-2026,1104508.97,Credit Card,Partial,783119,61,Lisa Norton,Build road poor near.
COL00009,INV00009,CLT014,PRJ018,20-07-2025,4840256,Wire Transfer,Paid,991262,36,Samuel Gray,Land clearly above sense option.
COL00010,INV00010,CLT029,PRJ005,27-12-2025,1589209,Wire Transfer,Paid,485100,36,Jane Wood,Democrat three although action use project continue husband.
COL00011,INV00011,CLT030,PRJ010,06-04-2026,4712122,Bank Transfer,Paid,1506611,67,Angela Ross,No day window push.
COL00012,INV00012,CLT016,PRJ013,30-10-2025,2552554.02,Bank Transfer,Pending,1214081,81,John Bailey,Able hair since our exactly north.
COL00013,INV00013,CLT014,PRJ017,21-01-2026,893445.82,Credit Card,Overdue,461826,13,Colleen Pitts,Now become want charge adult including might.
COL00014,INV00014,CLT019,PRJ020,23-10-2025,2926288,Wire Transfer,Paid,553614,69,Brenda Anderson,Father actually leader drop any task writer single.
COL00015,INV00015,CLT005,PRJ005,18-08-2025,352225,UPI,Paid,38821,60,Steven Smith,Market build human news.
COL00016,INV00016,CLT022,PRJ014,22-07-2025,1064253.4,Bank Transfer,Overdue,166931,105,Joshua Jackson,On any laugh weight television success society.
COL00017,INV00017,CLT035,PRJ011,04-04-2026,665881.16,UPI,Overdue,93620,79,Anita Nelson,Team stage rock music.
COL00018,INV00018,CLT021,PRJ004,31-03-2026,1292446.92,Credit Card,Partial,324308,90,Matthew Rose,Huge dream contain again over body cause.
COL00019,INV00019,CLT021,PRJ015,17-08-2025,2643708.8,Bank Transfer,Partial,448164,70,Calvin James,Nation though name of.
COL00020,INV00020,CLT027,PRJ019,15-03-2026,3271044,Wire Transfer,Paid,838132,36,Benjamin Hines,Add network information leave.
COL00021,INV00021,CLT029,PRJ020,23-05-2026,2227607.79,UPI,Overdue,1148970,62,David Palmer,Product through system question note laugh down.
COL00022,INV00022,CLT010,PRJ008,19-04-2026,1331823,Wire Transfer,Paid,67348,58,Zachary Barrett,Own theory organization cause itself spring.
COL00023,INV00023,CLT039,PRJ008,09-09-2025,646549.9,UPI,Overdue,457007,67,Franklin Hill,Piece then trial food even green inside art.
COL00024,INV00024,CLT014,PRJ015,29-12-2025,2881159,UPI,Paid,583546,101,Karen Gonzalez,Dog to low edge especially again.
COL00025,INV00025,CLT031,PRJ004,17-06-2026,1878419,Bank Transfer,Paid,733442,37,Kristina Smith,Friend be before whether time site born.
COL00026,INV00026,CLT020,PRJ020,08-07-2026,831496.31,UPI,Pending,296711,105,Manuel Mcclain,Up whom too here movement.
COL00027,INV00027,CLT040,PRJ018,24-06-2026,1922361.86,Credit Card,Partial,913465,110,Courtney Collins,Everybody toward strong artist possible large.
COL00028,INV00028,CLT018,PRJ020,19-01-2026,1058554.95,UPI,Overdue,10644,71,Dwayne Santos,Summer her arm their science number brother stage.
COL00029,INV00029,CLT034,PRJ012,04-10-2025,4666993,Wire Transfer,Paid,737800,94,Charles Rowland,Central compare avoid talk sound our sister.
COL00030,INV00030,CLT019,PRJ004,25-10-2025,589603.12,Credit Card,Partial,238533,51,Lori Delgado,Effort hold west now wall.
COL00031,INV00031,CLT017,PRJ016,12-12-2025,411428.67,Wire Transfer,Partial,128908,14,Larry Durham,Rock sign its role into.
COL00032,INV00032,CLT040,PRJ002,17-05-2026,393237.41,Credit Card,Partial,327950,32,Michael Holland,Less hold mission myself tough series.
COL00033,INV00033,CLT017,PRJ019,19-04-2026,913430.58,Wire Transfer,Partial,120351,74,Nathan Reid,Nation statement water draw.
COL00034,INV00034,CLT039,PRJ002,11-12-2025,3674119,UPI,Paid,1266079,37,Tamara Jones,Difficult if product form.
COL00035,INV00035,CLT031,PRJ012,04-07-2026,1018753.93,Bank Transfer,Pending,219361,114,Brenda Davenport,Serve maintain these significant senior yard issue.
COL00036,INV00036,CLT024,PRJ020,21-08-2025,1926993.83,Wire Transfer,Pending,927027,102,Lisa Brandt,Them whatever explain watch win professor reach.
COL00037,INV00037,CLT008,PRJ005,21-08-2025,1828798.03,Wire Transfer,Partial,739677,39,Dale Harris,Go any beautiful question former level approach.
COL00038,INV00038,CLT020,PRJ019,27-06-2026,1908613.13,Wire Transfer,Overdue,936477,73,Jonathan Stewart,General bank stand smile.
COL00039,INV00039,CLT032,PRJ002,15-12-2025,2664353.66,Wire Transfer,Overdue,696243,116,Carly Sandoval,Stand your just simple different.
COL00040,INV00040,CLT035,PRJ002,23-10-2025,623954,Credit Card,Paid,165455,92,Derek Yang,National financial letter run.
COL00041,INV00041,CLT016,PRJ017,12-09-2025,2051649.94,Wire Transfer,Overdue,1662033,28,Anna Martinez,Yes thing rate Mr coach.
COL00042,INV00042,CLT023,PRJ019,29-03-2026,2847685.64,Credit Card,Overdue,958054,113,Ryan Bruce,Exactly might test arm.
COL00043,INV00043,CLT039,PRJ016,26-03-2026,1113792.72,Bank Transfer,Partial,837665,34,Devin Williams,Night everybody fill alone be.
COL00044,INV00044,CLT019,PRJ011,29-08-2025,1309470.25,Wire Transfer,Pending,421097,21,Erica Ritter,Indeed him day song certainly bring production outside.
COL00045,INV00045,CLT017,PRJ018,19-09-2025,2411101.33,Credit Card,Pending,1411023,100,David Wilson,Even likely hospital market daughter.
COL00046,INV00046,CLT032,PRJ004,11-02-2026,1302954.45,Wire Transfer,Overdue,142254,54,David Howard,Receive million seek Republican first mother short.
COL00047,INV00047,CLT024,PRJ018,18-04-2026,1022563.68,UPI,Overdue,834959,40,Devin Morrow,Husband white and first as among.
COL00048,INV00048,CLT010,PRJ020,10-11-2025,2375949,UPI,Paid,151716,21,Tamara Butler,Scientist avoid letter shake create everybody range.
COL00049,INV00049,CLT029,PRJ012,19-07-2026,633109.61,Bank Transfer,Pending,264156,33,Jesse Hubbard,Rate production change so responsibility senior minute.
COL00050,INV00050,CLT018,PRJ020,01-04-2026,2554776.38,Wire Transfer,Overdue,1493492,46,Mrs. Sydney Matthews,Travel whom left game.
COL00051,INV00051,CLT021,PRJ014,08-12-2025,2188170,Wire Transfer,Paid,160053,92,Cameron Singh,Federal spring every end discuss step window.
COL00052,INV00052,CLT019,PRJ020,05-12-2025,2999822,Bank Transfer,Paid,1064121,32,Maria Jackson,By happy development speech tough open form.
COL00053,INV00053,CLT022,PRJ012,06-12-2025,1571740,Credit Card,Paid,593830,89,Douglas Peterson,Common start general note evening road.
COL00054,INV00054,CLT040,PRJ002,03-09-2025,413784.85,Bank Transfer,Pending,232318,89,Erika Scott,Career page each you recent summer accept.
COL00055,INV00055,CLT020,PRJ007,02-12-2025,598844.94,Wire Transfer,Overdue,133965,42,Clayton Olson,Participant policy lose provide about family local difference.
COL00056,INV00056,CLT037,PRJ013,06-05-2026,1997208.38,Credit Card,Overdue,241536,56,Bryan Young,Decade peace idea sell experience friend interview.
COL00057,INV00057,CLT033,PRJ004,17-12-2025,1681661.46,Wire Transfer,Partial,1627868,49,Courtney Patel,Important mother whom leg despite people.
COL00058,INV00058,CLT040,PRJ011,09-10-2025,1308747.54,Bank Transfer,Pending,922249,13,Matthew Madden,Be major system institution American security student.
COL00059,INV00059,CLT038,PRJ018,10-09-2025,125950.31,Wire Transfer,Partial,149856,88,Jill Olsen,Other there early western significant.
COL00060,INV00060,CLT019,PRJ013,02-07-2026,1314569.87,UPI,Pending,701810,13,Christian Yates,Agency door world teach message individual article.
COL00061,INV00061,CLT022,PRJ005,06-10-2025,2000172.53,Bank Transfer,Pending,1354812,90,Laura Brooks,Mean whole inside.
COL00062,INV00062,CLT011,PRJ006,10-08-2025,763689.23,Wire Transfer,Pending,45814,57,Jared Anderson,Impact PM page.
COL00063,INV00063,CLT039,PRJ005,23-04-2026,2147178,Wire Transfer,Paid,672324,66,Jeffrey Baird,Heavy black common.
COL00064,INV00064,CLT024,PRJ008,28-01-2026,446370.68,Bank Transfer,Pending,117722,8,Samantha Allen,Within per system effect.
COL00065,INV00065,CLT039,PRJ017,09-05-2026,437927.38,Credit Card,Overdue,124591,43,Scott Oliver,What two similar degree from age.
COL00066,INV00066,CLT006,PRJ017,02-08-2025,291818.78,Credit Card,Overdue,142627,69,Willie Camacho,Small police soldier help.
COL00067,INV00067,CLT012,PRJ015,07-08-2025,3229264.19,Wire Transfer,Overdue,382264,108,Karen Lane,Green six occur sense.
COL00068,INV00068,CLT023,PRJ002,22-03-2026,1985697.26,Bank Transfer,Overdue,261043,107,Molly Perry,Outside technology skin name Democrat require.
COL00069,INV00069,CLT021,PRJ004,20-07-2026,945324.61,Credit Card,Overdue,642768,62,Erika Nolan,Money size card this.
COL00070,INV00070,CLT039,PRJ015,03-03-2026,1108894,Credit Card,Paid,123729,104,Jamie Pierce,Leave establish easy organization I sit data local.
COL00071,INV00071,CLT002,PRJ006,22-06-2026,1697202.29,Bank Transfer,Partial,1177913,20,Lisa Parker,Role learn for natural.
COL00072,INV00072,CLT035,PRJ010,14-12-2025,1480735.29,Wire Transfer,Pending,165156,96,Samantha Collins,Up contain accept public.
COL00073,INV00073,CLT026,PRJ016,22-06-2026,1927805.35,Bank Transfer,Overdue,1205653,14,Larry Martin,Price bed data my.
COL00074,INV00074,CLT015,PRJ012,24-03-2026,938076.48,Bank Transfer,Partial,82690,37,Melissa Deleon,Human future country store today far home.
COL00075,INV00075,CLT014,PRJ019,07-05-2026,164836.53,Credit Card,Overdue,116522,85,Ryan Moon,There upon tonight forget school.
COL00076,INV00076,CLT023,PRJ013,10-10-2025,2467727.87,Credit Card,Overdue,1177867,18,Angela Carey,Long city knowledge by word pull thousand.
COL00077,INV00077,CLT033,PRJ015,13-02-2026,1168401.76,Bank Transfer,Partial,48604,16,Dr. Vincent Chen,Feeling guess pretty month center.
COL00078,INV00078,CLT026,PRJ012,13-01-2026,1694765.85,Credit Card,Overdue,1195967,76,Kristin Moore,Point treat watch call.
COL00079,INV00079,CLT003,PRJ002,27-03-2026,664136.52,Wire Transfer,Partial,174609,107,Karen Rodriguez,Young store the hour father.
COL00080,INV00080,CLT022,PRJ004,21-01-2026,2780478.39,UPI,Overdue,1670915,120,Taylor Benjamin,Billion maybe debate rise down audience dog.
COL00081,INV00081,CLT002,PRJ015,22-05-2026,2005027.98,UPI,Overdue,866040,93,Michael Kline,Account Mr blood subject dream next.
COL00082,INV00082,CLT017,PRJ020,05-02-2026,738120.52,Wire Transfer,Pending,292559,76,Kenneth Fischer,Produce best another eight region assume.
COL00083,INV00083,CLT003,PRJ010,03-01-2026,452661.52,UPI,Pending,231932,88,David Roman,Win nothing radio time.
COL00084,INV00084,CLT031,PRJ004,24-07-2025,682883.2,UPI,Overdue,288543,25,Christopher Brown,Happen campaign art meet measure science big second.
COL00085,INV00085,CLT032,PRJ006,19-11-2025,1745678.18,UPI,Pending,39286,6,Lisa Williams,Probably name life require.
COL00086,INV00086,CLT022,PRJ010,13-05-2026,506810.56,UPI,Pending,640632,114,Cynthia Perez,Measure clearly second born amount use.
COL00087,INV00087,CLT037,PRJ001,27-01-2026,1652928.86,Credit Card,Pending,130284,90,John Griffith,Between represent though time design who federal.
COL00088,INV00088,CLT014,PRJ008,25-05-2026,736777,Wire Transfer,Paid,234224,72,Abigail Stuart,Hospital movement beautiful create involve.
COL00089,INV00089,CLT006,PRJ017,24-11-2025,304420.25,Wire Transfer,Overdue,34588,70,Robert Torres,Hot player attention president do next.
COL00090,INV00090,CLT005,PRJ016,19-12-2025,1540775.8,Bank Transfer,Overdue,188724,103,Logan Gordon,Establish kind great appear indicate.
COL00091,INV00091,CLT015,PRJ001,15-05-2026,146226.33,UPI,Partial,60686,91,Patrick Castro,Throw baby way.
COL00092,INV00092,CLT039,PRJ002,26-01-2026,421084,Credit Card,Paid,115071,34,Susan Freeman,Whom yet despite chance realize.
COL00093,INV00093,CLT018,PRJ002,16-11-2025,1028762.32,UPI,Overdue,582851,68,Charles Hayes,Wrong season respond agent artist job.
COL00094,INV00094,CLT030,PRJ002,09-07-2025,1715803.87,Bank Transfer,Pending,1168715,72,Brittany Poole,Onto increase PM major.
COL00095,INV00095,CLT031,PRJ007,21-06-2026,1394063.14,Credit Card,Overdue,32157,32,Laura Francis,Argue our set million oil pressure.
COL00096,INV00096,CLT007,PRJ016,15-11-2025,1340573.18,Wire Transfer,Partial,777424,45,Walter Thompson,Bag ask crime family sometimes or draw.
COL00097,INV00097,CLT032,PRJ016,23-06-2025,1461246,UPI,Paid,177487,22,Rebecca Smith,Win expert compare crime.
COL00098,INV00098,CLT040,PRJ020,23-04-2026,4103410,Bank Transfer,Paid,1023104,7,John Brown,Per top low some.
COL00099,INV00099,CLT034,PRJ009,19-08-2025,1477122.25,Bank Transfer,Partial,832352,15,Dr. Deanna Middleton,Center individual eat.
COL00100,INV00100,CLT028,PRJ011,25-02-2026,649689.78,Bank Transfer,Overdue,22309,34,James Farley,School trouble edge number know general activity interest.
COL00101,INV00101,CLT026,PRJ003,27-04-2026,664402.27,Credit Card,Partial,408060,91,Amy Gonzalez,Career nation adult trip adult must born.
COL00102,INV00102,CLT015,PRJ012,24-05-2026,2142985.61,Credit Card,Pending,389520,92,Michael Livingston,Pretty part ago itself again sit provide.
COL00103,INV00103,CLT018,PRJ004,23-11-2025,782302,Wire Transfer,Paid,225957,62,William Fernandez,Possible good baby energy we.
COL00104,INV00104,CLT034,PRJ006,24-10-2025,2142374.09,UPI,Partial,291168,39,Wendy Brown,Find scientist although consider of age nearly.
COL00105,INV00105,CLT026,PRJ011,18-07-2026,1442696.07,UPI,Partial,923214,47,Sean Martin,Future may thing agreement to fight professional.
COL00106,INV00106,CLT008,PRJ019,24-01-2026,1948044.6,Wire Transfer,Partial,1429655,103,Jeffrey Fox,Never be left begin.
COL00107,INV00107,CLT026,PRJ018,23-07-2025,3558960,Wire Transfer,Paid,77102,106,William Warner,Heavy citizen begin bad car.
COL00108,INV00108,CLT034,PRJ018,07-11-2025,2311752.14,Wire Transfer,Partial,934865,52,Megan Madden,Pay baby for sport town authority.
COL00109,INV00109,CLT029,PRJ015,18-10-2025,613499,Wire Transfer,Paid,11713,108,Pamela Rodriguez,Next cover wear avoid education.
COL00110,INV00110,CLT012,PRJ014,01-06-2026,294882,Credit Card,Paid,80492,118,Samantha Weaver,Own maintain book actually head.
COL00111,INV00111,CLT032,PRJ017,27-08-2025,1212767.38,Credit Card,Partial,823224,80,Raymond Sanchez,Teach class television.
