timesheet_id,employee_id,employee_name,project_id,task_id,work_date,hours_worked,overtime_hours,billable_flag,approved_by,work_notes
TMS00001,EMP074,Yuvraj Bora,PRJ001,TSK00001,24-05-2026,4.7,1.8,No,Zashil Puri,Sed iste dolor possimus.
TMS00002,EMP085,Zansi Dewan,PRJ001,TSK00002,24-05-2026,6.1,2.2,Yes,Wridesh Tank,Illo nemo animi laborum veritatis corporis laudantium dolore.
TMS00003,EMP085,Zansi Dewan,PRJ001,TSK00002,24-05-2026,3.9,1.8,Yes,Vihaan Savant,Ab officiis perferendis eaque ullam.
TMS00004,EMP098,Kashish Raj,PRJ001,TSK00003,24-05-2026,3.9,1.3,Yes,Rachita Yadav,Alias eum ab animi.
TMS00005,EMP098,Kashish Raj,PRJ001,TSK00003,24-05-2026,7,0.2,No,Krishna Chahal,Sunt accusantium architecto neque.
TMS00006,EMP054,Vasatika Thaker,PRJ001,TSK00004,24-05-2026,4.4,0.5,Yes,Balveer Kapoor,Rem esse dignissimos expedita.
TMS00007,EMP054,Vasatika Thaker,PRJ001,TSK00004,24-05-2026,7.1,0.7,No,Meghana Bhasin,Eveniet aspernatur ut ipsam aliquam eveniet.
TMS00008,EMP082,Agastya Gill,PRJ001,TSK00005,24-05-2026,9,0.4,No,Michael Sami,Sunt vero nemo voluptas totam.
TMS00009,EMP082,Agastya Gill,PRJ001,TSK00005,24-05-2026,7.1,2.3,No,Yadavi Ray,Nesciunt accusamus aperiam expedita consequatur.
TMS00010,EMP082,Agastya Gill,PRJ001,TSK00005,24-05-2026,7.2,0.9,Yes,Gayathri Ganguly,Id explicabo inventore similique corrupti atque.
TMS00011,EMP007,Chanchal Sinha,PRJ001,TSK00006,24-05-2026,8.8,1,Yes,Chavvi Chhabra,Minima eius temporibus quod atque fuga voluptates.
TMS00012,EMP041,Chatura Oza,PRJ001,TSK00007,24-05-2026,6.3,2.7,Yes,Hemangini Korpal,Commodi facilis odio quas eius facilis deleniti hic.
TMS00013,EMP001,Adweta Solanki,PRJ001,TSK00008,24-05-2026,7.6,0.7,No,Upma Sidhu,Maiores debitis ex sint.
TMS00014,EMP001,Adweta Solanki,PRJ001,TSK00008,24-05-2026,6.2,0.6,Yes,Sai Kumer,Velit expedita praesentium temporibus dicta.
TMS00015,EMP001,Adweta Solanki,PRJ001,TSK00008,24-05-2026,2.5,1.5,Yes,Harinakshi Pant,Deserunt iste quaerat illo.
TMS00016,EMP017,Ishani Dhar,PRJ001,TSK00009,24-05-2026,7.1,0.4,Yes,Yuvraj Thaker,Tenetur odio maiores voluptates ad.
TMS00017,EMP069,Dominic Dewan,PRJ001,TSK00010,24-05-2026,2.7,1.8,Yes,Keya Oommen,Perspiciatis perspiciatis ratione accusantium inventore esse.
TMS00018,EMP081,Suhani Parmer,PRJ001,TSK00011,24-05-2026,6.1,1.3,No,Onkar Loke,Voluptatum ipsa aut dolore nostrum aliquam.
TMS00019,EMP076,Qadim Mander,PRJ001,TSK00012,24-05-2026,3.3,0.6,No,Fitan Bhargava,Mollitia quae delectus molestias saepe soluta.
TMS00020,EMP076,Qadim Mander,PRJ001,TSK00012,24-05-2026,3.4,0.7,No,Jagvi Bera,Illo possimus aliquam harum numquam.
TMS00021,EMP067,Vivaan Gandhi,PRJ001,TSK00013,24-05-2026,5.6,1.9,No,Amrita Lal,Quidem quibusdam vero.
TMS00022,EMP067,Vivaan Gandhi,PRJ001,TSK00013,24-05-2026,8.9,1.4,No,Samuel Goyal,Laborum delectus natus quas alias voluptatem.
TMS00023,EMP067,Vivaan Gandhi,PRJ001,TSK00013,24-05-2026,5.2,0.5,No,Mahika Ramakrishnan,Sed porro autem suscipit ea ratione distinctio.
TMS00024,EMP022,Ekavir Barman,PRJ001,TSK00014,24-05-2026,6,2.2,Yes,Meghana Sharaf,Pariatur iste nemo.
TMS00025,EMP022,Ekavir Barman,PRJ001,TSK00014,24-05-2026,8.6,2.4,Yes,Jasmit Mani,Accusantium repellat modi corrupti inventore rerum.
TMS00026,EMP076,Qadim Mander,PRJ001,TSK00015,24-05-2026,5.4,0.2,No,Advik Kale,Distinctio sed eum officia mollitia neque autem.
TMS00027,EMP076,Qadim Mander,PRJ001,TSK00015,24-05-2026,6.8,0.5,Yes,Amara Talwar,Temporibus totam suscipit reprehenderit dolores.
TMS00028,EMP080,Anay Soman,PRJ001,TSK00016,24-05-2026,5,0.9,No,Advik Murty,Voluptatum molestias ratione corrupti dignissimos tempore nulla.
TMS00029,EMP080,Anay Soman,PRJ001,TSK00016,24-05-2026,5,1.8,Yes,Abeer Munshi,Natus hic tempore eligendi id porro expedita.
